S.No.,State,City,Station Name,Current AQI value
1,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",84.3
2,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",33
3,,Anantapur,"Gulzarpet, Anantapur - APPCB",66
4,,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",91
5,,Kadapa,"Yerramukkapalli, Kadapa - APPCB",39
6,,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",66
7,,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",52
8,,Tirupati,"Vaikuntapuram, Tirupati - APPCB",84.3
9,,Vijayawada,"HB Colony, Vijayawada - APPCB",47
10,,Vijayawada,"Kanuru, Vijayawada - APPCB",47
11,,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",73
12,,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",49
13,,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",98
14,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",84.3
15,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",84.3
16,,Guwahati,"IITG, Guwahati - PCBA",186
17,,Guwahati,"LGBI Airport, Guwahati - PCBA",233
18,,Guwahati,"Pan Bazaar, Guwahati - PCBA",83
19,,Guwahati,"Railway Colony, Guwahati - PCBA",191
20,,Nagaon,"Christianpatty, Nagaon - PCBA",84.3
21,,Nalbari,"Bata Chowk, Nalbari - PCBA",84.3
22,,Silchar,"Tarapur, Silchar - PCBA",64
23,,Sivasagar,"Girls College, Sivasagar - PCBA",44
24,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",88
25,,Arrah,"New DM Office, Arrah - BSPCB",89
26,,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",136
27,,Begusarai,"Lohiyanagar, Begusarai - BSPCB",120
28,,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",84.3
29,,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",75
30,,,"Mayaganj, Bhagalpur - BSPCB",109
31,,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",108
32,,Buxar,"Charitra Van, Buxar - BSPCB",126
33,,Chhapra,"Darshan Nagar, Chhapra - BSPCB",84.3
34,,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",84.3
35,,Gaya,"Collectorate, Gaya - BSPCB",84.3
36,,Gaya,"Kareemganj, Gaya - BSPCB",149
37,,Gaya,"SFTI Kusdihra, Gaya - BSPCB",69
38,,Hajipur,"Industrial Area, Hajipur - BSPCB",181
39,,Katihar,"Mirchaibari, Katihar - BSPCB",84.3
40,,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",90
41,,Manguraha,"Forest Rest House, Manguraha - BSPCB",84.3
42,,Motihari,"Gandak Colony, Motihari - BSPCB",80
43,,Munger,"Town Hall, Munger - BSPCB",103
44,,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",190
45,,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",84.3
46,,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",89
47,,Patna,"DRM Office Danapur, Patna - BSPCB",84.3
48,,Patna,"Govt. High School Shikarpur, Patna - BSPCB",150
49,,Patna,"IGSC Planetarium Complex, Patna - BSPCB",74
50,,Patna,"Muradpur, Patna - BSPCB",238
51,,Patna,"Rajbansi Nagar, Patna - BSPCB",115
52,,Patna,"Samanpura, Patna - BSPCB",151
53,,Purnia,"Mariam Nagar, Purnia - BSPCB",62
54,,Rajgir,"Dangi Tola, Rajgir - BSPCB",93
55,,Saharsa,"Police Line, Saharsa - BSPCB",83
56,,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",69
57,,Sasaram,"Dada Peer, Sasaram - BSPCB",159
58,,Siwan,"Chitragupta Nagar, Siwan - BSPCB",84.3
59,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",84
60,,Chandigarh,"Sector-25, Chandigarh - CPCC",98
61,,Chandigarh,"Sector-53, Chandigarh - CPCC",84.3
62,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",76
63,,,"Civic Center, Bhilai - Bhilai Steel Plant",67
64,,,"Hathkhoj, Bhilai - CECB",112
65,,Bilaspur,"Mangala, Bilaspur - NTPC",74
66,,Chhal,"Nawapara SECL Colony, Chhal - CECB",104
67,,Korba,"Rampur, Korba - CECB",105
68,,,"Urja Nagar, Korba - CECB",89
69,,Kunjemura,"OP Jindal School, Kunjemura - CECB",134
70,,Milupara,"Govt. Higher Secondary School, Milupara - CECB",118
71,,Raipur,"AIIMS, Raipur - CECB",74
72,,,"Bhatagaon New ISBT, Raipur - CECB",84.3
